"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.566368417E0,-6.630684078E-2,2.154055774E-2,3.109541975E-2,7.633818108E-2
1.576422417E0,-8.624467671E-2,-3.313266277E-2,3.859798215E-2,1.001285266E-1
1.586476417E0,-9.750816822E-3,-3.115513444E-2,7.536059640E-2,8.212758563E-2
1.596530417E0,1.104392856E-1,-1.220898628E-3,1.107498459E-1,1.564092541E-1
1.606584417E0,2.327811635E-1,9.536224008E-3,8.942205369E-2,2.495482184E-1
1.616638417E0,2.659611887E-1,-2.969274580E-2,2.973426104E-2,2.692603560E-1
1.626691417E0,2.475839746E-1,-2.196448088E-2,-5.746241547E-2,2.551121167E-1
1.636745417E0,1.704767418E-1,-6.113556325E-2,-3.847416736E-2,1.851489620E-1
1.646799417E0,6.328207612E-2,-9.234683096E-2,3.723740816E-2,1.179795869E-1
1.656853417E0,8.354033947E-2,2.306200325E-2,1.141522676E-1,1.433233565E-1
1.666907417E0,1.179395092E-1,1.600616813E-1,1.013853838E-1,2.231781031E-1
1.676961417E0,-2.676621437E-2,1.636863703E-1,3.346061848E-2,1.692018647E-1
1.687015417E0,-1.099896348E-1,9.126158774E-2,-1.599805512E-2,1.438135422E-1
1.697069417E0,-4.495105505E-2,6.761427820E-2,3.230513558E-3,8.125714851E-2
1.707123417E0,2.358006656E-2,7.271480441E-2,8.664981566E-2,1.155493525E-1
1.717176417E0,5.561169863E-2,8.326318145E-2,2.159739268E-1,2.380549421E-1
1.727230417E0,1.117473078E-1,1.125086153E-1,3.797783377E-1,4.115546563E-1
1.737284417E0,1.108971226E-1,1.015906942E-1,5.561608404E-1,5.761368946E-1
1.747338417E0,8.645693064E-3,8.343742847E-2,6.417435392E-1,6.472026905E-1
1.757392417E0,-1.857093233E-1,1.015152651E-1,5.661243497E-1,6.043923238E-1
1.767446417E0,-3.372288072E-1,1.374393886E-1,3.674038752E-1,5.172991992E-1
1.777500417E0,-4.493988687E-1,2.431453532E-1,1.157906574E-1,5.239145754E-1
1.787554417E0,-5.429233289E-1,3.762595564E-1,-6.925442219E-2,6.641785677E-1
1.797607417E0,-5.488559139E-1,5.246320689E-1,-1.383288232E-1,7.717619356E-1
1.807661417E0,-4.536784458E-1,6.320997995E-1,-1.320320298E-1,7.891810601E-1
1.817715417E0,-2.300569457E-1,6.073608148E-1,-3.572312549E-2,6.504533029E-1
1.827769417E0,-1.144305950E-1,4.748710942E-1,3.410271585E-2,4.896528489E-1
1.837823417E0,-8.326376617E-2,3.175985348E-1,-1.351364627E-3,3.283344488E-1
1.847877417E0,-2.490913868E-4,1.805269361E-1,2.600666106E-2,1.823907429E-1
1.857931417E0,1.250929928E-1,5.723780930E-2,1.396114831E-1,1.959994639E-1
1.867985417E0,2.482838863E-1,-8.678963721E-2,2.872228342E-1,3.894538302E-1
1.878039417E0,3.413516790E-1,-2.844658720E-1,3.630841716E-1,5.738221996E-1
1.888092417E0,4.344416910E-1,-5.610912126E-1,4.235138297E-1,8.263939108E-1
1.898146417E0,4.932909930E-1,-7.676031750E-1,3.898565986E-1,9.922392885E-1
1.908200417E0,5.863868523E-1,-7.839981830E-1,3.295286089E-1,1.033001353E0
1.918254417E0,7.012665135E-1,-6.492046595E-1,2.791817433E-1,9.955821707E-1
1.928308417E0,7.124037051E-1,-4.170906633E-1,2.284225758E-1,8.565398611E-1
1.938362417E0,5.471309853E-1,-2.262796444E-1,2.591292288E-1,6.462992726E-1
1.948416417E0,3.512375665E-1,-1.132091117E-1,2.858889382E-1,4.668153982E-1
1.958470417E0,1.884961063E-1,-1.006457841E-1,2.636117774E-1,3.393398372E-1
1.968523417E0,1.135821640E-2,-1.165046024E-1,2.237266038E-1,2.524993559E-1
1.978577417E0,-1.076372999E-1,1.668912292E-2,1.821657644E-1,2.122467453E-1
1.988631417E0,-5.357277453E-2,1.979510540E-1,1.728441332E-1,2.681972340E-1
1.998685417E0,-4.605968714E-2,2.848307383E-1,8.377656698E-2,3.004472623E-1
2.008739417E0,-8.718958676E-2,7.577465236E-2,-1.578170814E-2,1.165885256E-1
2.018793417E0,-8.709603131E-2,-1.062076557E-1,2.643920884E-2,1.398742884E-1
2.028847417E0,8.623415172E-2,1.358296502E-1,2.094373244E-1,2.641022825E-1
2.038901417E0,3.007626468E-1,1.446221083E-1,3.713045528E-1,4.992402176E-1
2.048954417E0,9.732982814E-2,-1.035693920E-1,3.997209245E-1,4.242364104E-1
2.059008417E0,-4.232623994E-2,-1.478831005E-1,2.654682684E-1,3.068131737E-1
2.069062417E0,-1.427165008E-1,-3.282743812E-2,-1.701700553E-2,1.474286904E-1
2.079116417E0,-2.173398364E-1,6.238920629E-2,-1.938252586E-1,2.978208327E-1
2.089170417E0,-2.888629782E-1,1.626134062E-1,-2.444859736E-1,4.118960200E-1
2.099224417E0,-2.923385632E-1,2.229917550E-1,-1.809308325E-1,4.097842414E-1
2.109278417E0,-2.376980871E-1,1.405881143E-1,-6.203720391E-2,2.830441894E-1
2.119332417E0,-1.792019570E-1,2.590491951E-2,3.337897673E-2,1.841156222E-1
2.129386417E0,-1.362143970E-1,-4.460080683E-2,9.547158301E-2,1.722161928E-1
2.139439417E0,-3.963008881E-2,-1.108404046E-1,1.726828963E-1,2.089868941E-1
2.149493417E0,7.793578327E-2,-2.183356172E-1,2.047116047E-1,3.092753937E-1
2.159547417E0,1.831956053E-1,-2.630872822E-1,1.925833100E-1,3.739837953E-1
2.169601417E0,3.043323720E-1,-2.293365687E-1,1.560188433E-1,4.117709725E-1
2.179655417E0,3.966692626E-1,-4.518728256E-2,9.870794378E-2,4.112561885E-1
2.189709417E0,3.174120086E-1,7.255926847E-2,-4.421225935E-4,3.256001016E-1
2.199763417E0,2.689888769E-1,9.614167392E-2,-4.407104909E-2,2.890337260E-1
2.209817417E0,2.505906129E-1,3.701345980E-2,1.118798934E-2,2.535563499E-1
2.219870417E0,6.313589573E-2,-1.204058647E-2,2.559019312E-2,6.918074180E-2
2.229924417E0,-7.828603148E-2,1.323224902E-3,-9.689567238E-4,7.830320892E-2
2.239978417E0,-1.122279489E-1,9.338880479E-2,-1.946428455E-2,1.472937193E-1
2.250032417E0,-1.147650558E-1,2.732731318E-1,-2.189372957E-2,2.972012080E-1
2.260086417E0,-1.462125510E-1,3.728822047E-1,-3.066170253E-2,4.016956418E-1
2.270140417E0,-2.093981481E-1,3.793539029E-1,-1.205235399E-2,4.334769052E-1
2.280194417E0,-2.113844472E-1,3.604516089E-1,-1.083021283E-2,4.180024407E-1
2.290248417E0,-2.163960958E-1,2.915579599E-1,-5.010055169E-2,3.665288250E-1
2.300301417E0,-2.022201061E-1,1.458587945E-1,-9.884776533E-2,2.682137952E-1
2.310355417E0,-1.462949967E-1,3.655679226E-3,-1.068968962E-1,1.812250989E-1
2.320409417E0,-1.056258577E-1,-2.525938690E-2,-6.644293472E-2,1.273166211E-1
2.330463417E0,5.664197803E-3,-3.839866519E-3,-3.362572923E-2,3.431497309E-2
2.340517417E0,9.213867009E-2,-1.242656118E-1,-1.082363471E-2,1.550762002E-1
2.350571417E0,9.675036907E-2,-2.274052334E-1,1.738267578E-2,2.477416628E-1
2.360625417E0,1.949186879E-1,-2.810224468E-1,8.464363597E-2,3.523229422E-1
2.370679417E0,2.501093870E-1,-2.848704994E-1,6.769555449E-2,3.850825820E-1
2.380732417E0,2.326840997E-1,-2.135753989E-1,-4.884296179E-2,3.195965835E-1
2.390786417E0,2.583662403E-1,-9.342096448E-2,-1.362605900E-1,3.066717122E-1
2.400840833E0,2.757389027E-1,-2.120200396E-2,-1.721413710E-1,3.257516217E-1
2.410894833E0,2.379471785E-1,-1.581964195E-2,-2.291471189E-1,3.307227282E-1
