"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.084374750E0,4.072771351E0,-3.698748939E0,-5.241111989E0,7.598517295E0
2.094428750E0,4.446283301E0,-3.677363918E0,-5.619802818E0,8.054478523E0
2.104482750E0,4.427908133E0,-3.475537329E0,-6.406122345E0,8.527844608E0
2.114537750E0,3.944834565E0,-4.189418918E0,-7.088214085E0,9.129935899E0
2.124591750E0,2.188137440E0,-5.250852866E0,-7.814304367E0,9.665544683E0
2.134645750E0,-2.463431954E-2,-6.209709109E0,-8.212357081E0,1.029581968E1
2.144699750E0,-4.784802881E-1,-6.685051489E0,-7.843082024E0,1.031662699E1
2.154753750E0,-1.376142204E-1,-7.670999637E0,-7.274454920E0,1.057264714E1
2.164807750E0,-3.088680571E-1,-8.820539430E0,-7.039231374E0,1.128929110E1
2.174861750E0,-3.989941156E-1,-9.224468595E0,-6.584381146E0,1.134037443E1
2.184915750E0,2.513144982E-1,-9.198953685E0,-5.916402832E0,1.094018877E1
2.194969750E0,9.741303402E-1,-9.470380266E0,-5.684782341E0,1.108845267E1
2.205023750E0,1.379847584E0,-1.034037053E1,-5.944188216E0,1.200669045E1
2.215077750E0,1.709764448E0,-1.107326054E1,-6.273066030E0,1.284101829E1
2.225131750E0,1.948822598E0,-1.164679755E1,-6.500295262E0,1.347960093E1
2.235185750E0,1.893638331E0,-1.246925988E1,-6.843075415E0,1.434907625E1
2.245239750E0,1.494862901E0,-1.348718061E1,-6.914505587E0,1.522987339E1
2.255293750E0,1.200352097E0,-1.473052319E1,-6.745886505E0,1.624611164E1
2.265347750E0,1.255774931E0,-1.597572986E1,-6.827735245E0,1.741892315E1
2.275401750E0,3.010479909E-1,-1.707047130E1,-7.314076822E0,1.857383483E1
2.285455750E0,-1.669717453E0,-1.790407843E1,-7.608339704E0,1.952513288E1
2.295509750E0,-3.871142106E0,-1.825545867E1,-7.163481199E0,1.998907140E1
2.305563750E0,-6.154379831E0,-1.805375546E1,-5.951480863E0,1.998085588E1
2.315618750E0,-8.168036356E0,-1.725941589E1,-4.097966126E0,1.952940299E1
2.325672750E0,-9.304778933E0,-1.621645271E1,-2.743322965E0,1.889650948E1
2.335726750E0,-1.012251730E1,-1.570245205E1,-2.550402271E0,1.885568638E1
2.345780750E0,-1.015478692E1,-1.427967012E1,-1.760741205E0,1.761047659E1
2.355834750E0,-9.974417857E0,-1.329711102E1,-8.117302112E-1,1.664214766E1
2.365888750E0,-9.502404297E0,-1.166671784E1,7.148969579E-1,1.506383319E1
2.375942750E0,-9.516917671E0,-9.686593344E0,2.473365204E0,1.380287463E1
2.385996750E0,-1.014260015E1,-7.771001058E0,3.967749803E0,1.337923143E1
2.396050750E0,-1.082819437E1,-5.752769086E0,4.989063081E0,1.323763181E1
2.406104750E0,-1.131843780E1,-3.843704631E0,5.579291553E0,1.319126960E1
2.416158750E0,-1.162102302E1,-2.318188872E0,5.628249121E0,1.311866471E1
2.426212750E0,-1.177289860E1,-1.303594630E0,5.171651745E0,1.292464631E1
2.436266750E0,-1.173902334E1,-5.562310070E-1,4.370266281E0,1.253847237E1
2.446320750E0,-1.147976832E1,-8.350350201E-2,3.479762235E0,1.199586591E1
2.456374750E0,-1.077614363E1,1.638091618E-1,2.662233778E0,1.110133297E1
2.466428750E0,-9.790094908E0,1.692844945E-1,1.913433495E0,9.976765172E0
2.476482750E0,-9.080048801E0,-3.267371482E-1,1.040839543E0,9.145348016E0
2.486536750E0,-8.225860641E0,-8.879762954E-1,1.902029816E-1,8.275836052E0
2.496591750E0,-7.063940538E0,-9.711190242E-1,-5.479063991E-1,7.151400528E0
2.506645750E0,-5.995650145E0,-7.241051531E-1,-1.151368217E0,6.147991356E0
2.516699750E0,-5.125787355E0,-2.479242826E-1,-1.760445775E0,5.425341628E0
2.526753750E0,-4.301123249E0,4.385516989E-1,-2.252143986E0,4.874847826E0
2.536807750E0,-3.706666069E0,9.607162428E-1,-2.318728570E0,4.476477547E0
2.546861750E0,-3.410569208E0,1.320287261E0,-2.140341715E0,4.237476069E0
2.556916375E0,-3.471492518E0,1.640471435E0,-1.860124429E0,4.266435247E0
2.566970375E0,-3.900367075E0,1.860170622E0,-1.490247109E0,4.570988351E0
2.577024375E0,-4.334816367E0,2.161615055E0,-9.725895989E-1,4.940561011E0
2.587078375E0,-4.744819620E0,2.350760787E0,-4.044319896E-1,5.310645416E0
2.597132375E0,-5.205638101E0,2.403062376E0,1.745382178E-1,5.736186923E0
2.607186375E0,-5.553877800E0,2.271449153E0,6.904064798E-1,6.040008359E0
2.617240375E0,-5.764040764E0,2.090345682E0,1.006793472E0,6.213480835E0
2.627294375E0,-5.989211776E0,1.781303962E0,1.098002946E0,6.344234546E0
2.637348375E0,-6.267160926E0,1.024462003E0,1.070148126E0,6.439879307E0
2.647402375E0,-6.561423808E0,-4.596554697E-2,1.102332444E0,6.653535304E0
2.657456375E0,-7.042584168E0,-1.197038480E0,1.327907352E0,7.265963860E0
2.667510375E0,-7.707275763E0,-2.401652613E0,1.710761983E0,8.252074982E0
2.677564375E0,-8.233132238E0,-3.086984294E0,2.493823442E0,9.139644077E0
2.687618375E0,-8.478246934E0,-2.810180029E0,3.607947235E0,9.633019574E0
2.697673375E0,-8.916135558E0,-1.816752707E0,4.868836141E0,1.032005955E1
2.707727375E0,-9.634312804E0,-5.333409119E-1,6.125180590E0,1.142901015E1
2.717781375E0,-1.038989995E1,8.129483324E-1,7.767385139E0,1.299781435E1
2.727835375E0,-1.116791409E1,2.123740300E0,8.416398010E0,1.414455137E1
2.737889375E0,-1.177144030E1,3.093434358E0,8.075118252E0,1.460628898E1
2.747943375E0,-1.191529350E1,3.481150948E0,7.946453780E0,1.473902164E1
2.757997375E0,-1.145380435E1,3.257278018E0,7.305707118E0,1.397042772E1
2.768051375E0,-1.042765074E1,2.421108638E0,5.849167453E0,1.219878793E1
2.778105375E0,-9.302839411E0,1.091854672E0,4.239841797E0,1.028159648E1
2.788159375E0,-8.068813199E0,-1.139218873E-1,2.823219320E0,8.549227566E0
2.798213375E0,-6.869926414E0,-8.727092153E-1,1.745254709E0,7.141668174E0
2.808267375E0,-5.668337631E0,-1.496169754E0,9.732175899E-1,5.942703754E0
2.818321375E0,-4.168581488E0,-2.017968262E0,3.631376736E-1,4.645550182E0
2.828375375E0,-3.057098005E0,-2.286509827E0,-4.581644297E-2,3.817862563E0
2.838429375E0,-2.499435308E0,-2.446596066E0,-2.583546189E-1,3.507100837E0
2.848483375E0,-2.032636002E0,-2.426232553E0,-2.386774957E-1,3.174142477E0
2.858537375E0,-1.596392784E0,-2.457092988E0,-1.437608135E-1,2.933673984E0
2.868591375E0,-1.304068547E0,-2.482938851E0,5.560241617E-2,2.805115281E0
2.878645375E0,-1.012255356E0,-2.529249968E0,3.210378671E-1,2.743142654E0
2.888699375E0,-6.762492013E-1,-2.579105667E0,6.583930472E-1,2.746375872E0
2.898754375E0,-3.045519349E-1,-2.602900912E0,9.478114378E-1,2.786788754E0
2.908808375E0,-1.325680733E-2,-2.597226774E0,1.209842713E0,2.865219371E0
2.918862375E0,2.441779715E-1,-2.537502728E0,1.472559282E0,2.943972455E0
2.928916375E0,4.294534314E-1,-2.434745514E0,1.735189458E0,3.020479833E0
2.938970375E0,5.852694494E-1,-2.354367349E0,1.945616570E0,3.109824718E0
2.949024375E0,7.256587583E-1,-2.305448958E0,2.072354969E0,3.183760457E0
2.959078375E0,8.749036753E-1,-2.249187049E0,2.148546528E0,3.231184149E0
2.969132375E0,1.083399013E0,-2.194149547E0,2.183110443E0,3.279331771E0
2.979186375E0,1.303889914E0,-2.160124015E0,2.235521522E0,3.371026719E0
2.989240375E0,1.528210741E0,-2.156757773E0,2.271253856E0,3.485057566E0
2.999294375E0,1.761505875E0,-2.190003871E0,2.222175837E0,3.582887851E0
3.009348375E0,2.145290213E0,-2.371601433E0,2.058813987E0,3.803350955E0
3.019402375E0,2.689691133E0,-2.566446446E0,1.763858210E0,4.114885361E0
3.029456375E0,3.061398633E0,-2.831300172E0,1.604775499E0,4.468078631E0
3.039510375E0,3.356605255E0,-2.972766538E0,1.495602135E0,4.726623052E0
3.049564375E0,3.691913252E0,-2.963717387E0,1.377385322E0,4.930622124E0
3.059618375E0,3.947997909E0,-3.049093167E0,1.211985133E0,5.133474904E0
3.069672375E0,4.170620120E0,-3.129782989E0,1.018984916E0,5.312997647E0
3.079726375E0,4.328972075E0,-3.231021096E0,7.830931071E-1,5.458271829E0
3.089780375E0,4.372238547E0,-3.470713668E0,5.616790040E-1,5.610508585E0
3.099835375E0,4.392686260E0,-3.766689200E0,4.058307532E-1,5.800718810E0
3.109889375E0,4.417721699E0,-4.178703895E0,2.202692914E-1,6.084928086E0
3.119943375E0,4.581820883E0,-4.641463652E0,1.317136489E-2,6.521996697E0
3.129997375E0,4.887434964E0,-5.047172710E0,-2.227403247E-1,7.029266401E0
3.140051375E0,5.128361299E0,-5.501634682E0,-5.183942592E-1,7.539018928E0
3.150105375E0,5.267241442E0,-5.908996164E0,-7.993494630E-1,7.956068604E0
3.160159375E0,5.498916312E0,-6.098397419E0,-1.057413987E0,8.279290792E0
3.170213375E0,5.616033702E0,-6.262193717E0,-1.316078435E0,8.513927833E0
3.180267375E0,5.659504827E0,-6.411983010E0,-1.526755954E0,8.687606388E0
3.190321375E0,5.712926159E0,-6.451831784E0,-1.719553857E0,8.787520932E0
